CATID,ellip,z_spec,Mstar,M_r,r_e,VSIGMA_RE,VSIGMA_RE_ERR,SIGMA_RE,SIGMA_RE_ERR,TYPE
7289,0.2660999894,0.0868199989,11.1199998856,-22.3700008392,4.9600000381,0.0797666013,0.0072175167,205.1452789307,1.8772923946,0.5
7839,0.2480999976,0.0474900007,11.0500001907,-22.1000003815,6.9499998093,0.3208786249,0.0043023285,195.7611236572,1.6140422821,0.5
7969,0.1772000045,0.0855399966,11.0200004578,-22.1200008392,5.1700000763,0.0801679268,0.0068837274,249.7976531982,2.4518451691,0.5
8488,0.064199999,0.0199599992,9.5100002289,-18.3600006104,1.4199999571,,,74.4508056641,1.0931452513,0.0
8865,0.1000000015,0.0731400028,10.6599998474,-21.1599998474,2.5,0.0446642824,0.0090998299,214.6797637939,2.8171825409,0.0
15165,0.1203000024,0.0775299966,11.1499996185,-22.3999996185,6.2399997711,0.4849848747,0.007852599,180.0700073242,2.1366076469,0.5
15481,0.0439999998,0.0540699996,11.0799999237,-22.2299995422,5.6300001144,0.0761818513,0.0049372711,225.8518218994,2.2824518681,0.0
16022,0.1207000017,0.053679999,10.4099998474,-20.6499996185,2.1900000572,0.0688766837,0.0090207858,119.5870056152,1.154838562,0.5
16526,0.1800999939,0.0562399998,10.2600002289,-20.3700008392,2.2400000095,0.2180077136,0.0185694061,98.5265655518,1.980157733,0.0
17390,0.1676000059,0.0918100029,11.0600004196,-22.3299999237,3.6800000668,0.0748045966,0.0064468211,200.4368591309,1.8745421171,0.5
22582,0.1926999986,0.0778099969,11.0600004196,-22.2600002289,3.7300000191,0.155644238,0.0055168713,222.052947998,1.751277566,0.5
23082,0.0869999975,0.0785500035,11.0799999237,-22.2099990845,3.0499999523,0.0614891574,0.0047472632,253.0085601807,1.7546430826,0.0
23265,0.1177000031,0.0779799968,11.0,-22.0200004578,3.0199999809,0.1557961851,0.0087346574,182.956237793,2.5833027363,0.0
23341,0.1526000053,0.0783300027,11.0100002289,-22.0200004578,3.3599998951,0.2487747967,0.006771809,257.7335510254,2.1715445518,0.0
30469,0.2454999983,0.0763999969,11.1599998474,-22.4099998474,4.6999998093,0.1411530823,0.0051064212,235.7994384766,1.9728507996,0.5
30615,0.2041999996,0.0786599964,11.1300001144,-22.2600002289,4.5399999619,0.2306668758,0.0063309735,285.8886108398,2.6571280956,0.5
30847,0.2348999977,0.1067399979,11.4399995804,-23.1100006104,4.0100002289,0.2517368197,0.005813377,251.1029663086,2.2748298645,0.5
31623,0.3486999869,0.0924699977,11.3100004196,-22.7700004578,5.6199998856,0.1174712032,0.0048554689,268.3883666992,2.0308909416,0.5
32196,0.1811999977,0.0759499967,11.279999733,-22.75,5.7600002289,0.1093844771,0.0065308334,172.5654754639,1.5652979612,0.0
39057,0.0688999966,0.0196199995,10.4399995804,-20.6900005341,5.5300002098,0.2475514263,0.0027360015,129.3024597168,0.7765631676,0.0
40445,0.205400005,0.0828899965,11.2899999619,-22.6100006104,6.4800000191,0.0996957794,0.0070412001,196.5525817871,2.326895237,0.0
40491,0.2840000093,0.077229999,10.4600000381,-20.8799991608,2.75,0.3865714073,0.0134489136,122.2786865234,1.864597559,0.5
41059,0.1071999967,0.0707900003,11.3199996948,-22.8099994659,5.3600001335,0.0674684793,0.0043360577,262.3698730469,1.9752497673,0.0
41180,0.3111999929,0.0844400004,10.470000267,-20.8400001526,1.8099999428,,,152.4698944092,2.6819348335,0.0
41274,0.1289000064,0.0727600008,10.5799999237,-21.1299991608,2.2699999809,0.1669181436,0.0104748569,118.1923751831,1.5283350945,0.5
47152,0.1846999973,0.0825999975,11.0600004196,-22.2000007629,3.8900001049,0.0609271415,0.0086476449,196.8641815186,2.0083796978,0.0
47254,0.0529000014,0.0547300018,11.029999733,-22.1200008392,3.75,0.2599366009,0.004357378,195.2866973877,1.2542456388,0.0
48470,0.1086999997,0.0795599967,11.0100002289,-22.2299995422,3.5299999714,0.1996309012,0.0075839018,160.6139221191,1.6742634773,0.0
48548,0.2888999879,0.0828099996,11.0500001907,-22.1900005341,3.9100000858,0.1916809827,0.0091309091,191.3053131104,2.3674359322,0.5
54202,0.1295000017,0.0471699983,10.5799999237,-21.0200004578,3.0399999619,0.1944676787,0.0064734961,177.3406219482,1.4870948792,0.0
54270,0.0659999996,0.0834399983,11.279999733,-22.7099990845,4.8699998856,0.1222908869,0.0059696427,264.9578552246,2.4710099697,0.0
54500,0.236499995,0.0807299986,10.9300003052,-21.8700008392,6.6700000763,0.1285554916,0.0110209268,191.5647277832,3.4076478481,0.5
54921,0.1677999943,0.093659997,10.9899997711,-22.0599994659,3.2999999523,0.3712612987,0.0114115179,165.0886688232,2.379178524,0.0
56181,0.1230999976,0.050590001,10.3199996948,-20.7399997711,1.8600000143,0.1963052005,0.0147472555,88.3695755005,1.8577718735,0.0
62239,0.0822999999,0.0531499982,10.8900003433,-21.9099998474,7.5300002098,0.3963215053,0.0070648245,125.1343460083,1.4166104794,0.0
62244,0.235799998,0.0532899983,10.1499996185,-19.9599990845,1.1100000143,,,166.5318145752,2.4634208679,0.0
65408,0.1225999966,0.0434099995,10.9200000763,-21.9500007629,5.2899999619,0.1162791997,0.0041970764,182.3932037354,1.1168879271,0.0
65410,0.3003000021,0.0435900018,10.0500001907,-20.0699996948,2.1700000763,0.0848932639,0.0153917624,88.8696670532,1.5993541479,0.5
70022,0.0518999994,0.0598899983,10.9399995804,-21.7900009155,4.0900001526,0.1219489425,0.0066480287,217.7155151367,1.8447426558,0.5
70640,0.2344000041,0.0797699988,10.9099998474,-21.7800006866,5.6300001144,0.1762750298,0.0094738817,195.3615722656,2.6263666153,0.5
70670,0.134100005,0.0819600001,11.2100000381,-22.4699993134,5.5900001526,0.0796433017,0.0060956562,229.8682250977,2.6530253887,0.0
70802,0.1826000065,0.0609400012,11.1000003815,-22.3299999237,3.4900000095,0.0624959208,0.0037184053,251.5208892822,1.6718456745,0.0
