"CATID","ellip","z_spec","Mstar","M_r","r_e","VSIGMA_RE","VSIGMA_RE_ERR","SIGMA_RE","SIGMA_RE_ERR","TYPE","Age_RE","Age_RE_ERR","SFR_RE","SFR_RE_ERR"
"7289","0.2660999894","0.0868199989","11.1199998856","-22.3700008392","4.9600000381","0.0797666013","0.0072175167","205.1452789307","1.8772923946","0.5","5.487695516567193","1.9747220277786255","0.5281969905","0.3007269204"
"7839","0.2480999976","0.0474900007","11.0500001907","-22.1000003815","6.9499998093","0.3208786249","0.0043023285","195.7611236572","1.6140422821","0.5","5.487695516567193","1.090905785560608","0.5490108132","0.1825874895"
"7969","0.1772000045","0.0855399966","11.0200004578","-22.1200008392","5.1700000763","0.0801679268","0.0068837274","249.7976531982","2.4518451691","0.5","7.932133349390338","3.112356185913086","0.0175304394","None"
"8488","0.064199999","0.0199599992","9.5100002289","-18.3600006104","1.4199999571","None","None","74.4508056641","1.0931452513","0.0","6.751340417759738","4.683753490447998","0.0003567632","None"
"8865","0.1000000015","0.0731400028","10.6599998474","-21.1599998474","2.5","0.0446642824","0.0090998299","214.6797637939","2.8171825409","0.0","11.465421010068901","5.301138401031494","0.0242874417","None"
"15165","0.1203000024","0.0775299966","11.1499996185","-22.3999996185","6.2399997711","0.4849848747","0.007852599","180.0700073242","2.1366076469","0.5","5.7463226384084365","2.8699820041656494","0.7782859802","0.1405056566"
"15165","0.1203000024","0.0775299966","11.1499996185","-22.3999996185","6.2399997711","0.4849848747","0.007852599","180.0700073242","2.1366076469","0.5","5.7463226384084365","2.8699820041656494","0.805170238","0.1095572114"
"15165","0.1203000024","0.0775299966","11.1499996185","-22.3999996185","6.2399997711","0.4849848747","0.007852599","180.0700073242","2.1366076469","0.5","3.383685627252995","0.982577919960022","0.7782859802","0.1405056566"
"15165","0.1203000024","0.0775299966","11.1499996185","-22.3999996185","6.2399997711","0.4849848747","0.007852599","180.0700073242","2.1366076469","0.5","3.383685627252995","0.982577919960022","0.805170238","0.1095572114"
"15165","0.1203000024","0.0775299966","11.1499996185","-22.3999996185","6.2399997711","0.4849848747","0.007852599","180.0700073242","2.1366076469","0.5","5.7463226384084365","2.8699820041656494","0.7782859802","0.1405056566"
"15165","0.1203000024","0.0775299966","11.1499996185","-22.3999996185","6.2399997711","0.4849848747","0.007852599","180.0700073242","2.1366076469","0.5","5.7463226384084365","2.8699820041656494","0.805170238","0.1095572114"
"15165","0.1203000024","0.0775299966","11.1499996185","-22.3999996185","6.2399997711","0.4849848747","0.007852599","180.0700073242","2.1366076469","0.5","3.383685627252995","0.982577919960022","0.7782859802","0.1405056566"
"15165","0.1203000024","0.0775299966","11.1499996185","-22.3999996185","6.2399997711","0.4849848747","0.007852599","180.0700073242","2.1366076469","0.5","3.383685627252995","0.982577919960022","0.805170238","0.1095572114"
"15481","0.0439999998","0.0540699996","11.0799999237","-22.2299995422","5.6300001144","0.0761818513","0.0049372711","225.8518218994","2.2824518681","0.0","8.1168964702676","2.7241413593292236","0.0207659099","None"
